frame,time_sec,ball_visible,ball_x,ball_y,ball_x_m,ball_y_m,ball_speed_m_s,ball_owner_id,ball_owner_role,ball_owner_team,team_ball_control,team1_players_on_pitch,team2_players_on_pitch
23,0.38333333333333336,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
24,0.4,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
25,0.4166666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
26,0.43333333333333335,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
27,0.45,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
28,0.4666666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
29,0.48333333333333334,1,1015.0,287.0,49.91691970825195,30.06654930114746,3.0158067416800076,19,player,2,2,11,9
30,0.5,1,1015.0,287.0,49.91691970825195,30.06654930114746,0.0,19,player,2,2,11,9
31,0.5166666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,3.0158067416799974,19,player,2,2,11,9
32,0.5333333333333333,1,1015.0,287.0,49.91691970825195,30.06654930114746,3.0158067416800174,19,player,2,2,11,9
33,0.55,1,1015.0,287.0,49.91691970825195,30.06654930114746,0.0,19,player,2,2,11,9
34,0.5666666666666667,1,1015.0,287.0,49.91691970825195,30.06654930114746,0.0,19,player,2,2,11,9
35,0.5833333333333334,1,1015.0,287.0,49.91691970825195,30.06654930114746,0.0,19,player,2,2,11,9
36,0.6,1,1015.0,287.0,49.91691970825195,30.06654930114746,0.0,19,player,2,2,11,9
37,0.6166666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,3.0158067416799974,19,player,2,2,11,9
38,0.6333333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
39,0.65,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
40,0.6666666666666666,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
41,0.6833333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
42,0.7,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
43,0.7166666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
44,0.7333333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
45,0.75,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
46,0.7666666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
47,0.7833333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
48,0.8,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
49,0.8166666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
50,0.8333333333333334,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
51,0.85,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
52,0.8666666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
53,0.8833333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
54,0.9,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
55,0.9166666666666666,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,11,9
56,0.9333333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,10,10
57,0.95,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,10,10
58,0.9666666666666667,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,10,10
59,0.9833333333333333,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,10,10
60,1.0,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,10,10
61,1.0166666666666666,1,1016.0,287.0,49.9671516418457,30.064769744873047,0.0,19,player,2,2,10,10
